;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n
Frank Herbert ainda vive?;88843398;92935833;112968525;110620538;103437270;106804212;326716039;303156822;125969008;121479024;615628382;561795872;150895877;154860462;1072243304;1145714329;172290969;183169349;1558039644;1339321353;168669721;175142610;1376698569;1475655418;156616602;164889547;1467575256;1398068497;170790000;164601495;1478687580;1337031957;174207114;166445591;1453262250;1338686512;160059822;160325722;1371832481;1395008427;163051998;166767462;1491966817;1377391292
Quem criou Family Guy?;165302477;171912434;195927934;200663966;188106204;172830981;338635925;320167499;188589713;187311267;641250190;600948997;192166321;206182957;1173576185;1010635810;228470685;247674988;1696457444;1712265120;287429430;292523951;4122375012;4117231237;290293143;288103173;7824651661;6011400595;324001588;322956846;32481018586;13325439471;342706852;321900554;0;25506333448;350117303;358102241;0;47030398165;349299198;365109678;0;0
Qual a língua oficial do Suriname?;266111794;264189041;289991523;297597536;311253551;300746261;416272511;465562026;285026031;283068376;794499057;638275334;301680379;319980325;1298737982;1052176333;312453148;323039032;1801401142;1518884776;372260863;385772094;4477356903;3854646808;477142279;470638291;8334670863;7866448100;606054844;577777751;37354050550;32952909296;583582899;637999642;0;0;647877335;567964410;0;0;696350940;686725302;0;0
Quem escreveu a canção Hotel California?;173042842;165852698;174054253;176651056;176450940;180835360;322017718;313863040;187202606;218869406;620547350;604778840;205160438;205502333;1035697193;1074054743;208396787;204616443;1638940641;1410301829;200779949;212173233;4092842065;2636766488;227807302;219911510;8149430449;4030223750;241942531;252178026;30410981462;7777091284;244092070;285682341;0;13691855211;265135992;307608007;0;24047201335;371512675;315624127;0;71534840762
Liste todos os atores que estrelaram em filmes dirigidos por William Shatner.;319685886;318985114;353193152;309163059;340779502;382047819;506978670;424838227;340908941;347236752;793675654;445775662;354462980;357553455;1249715926;728774768;417176270;398861982;2084364201;1040551834;407743918;401929034;4767687941;1510444298;411977656;419897093;9915779287;3148889143;449501407;382498754;40534461255;15543220753;482232779;448658521;0;32978637551;538131771;571657490;0;47607637932;1066704440;1089631870;0;0
Quais são os ingredientes do biscoito de chocolate?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os skatistas profissionais da Suécia.;77986756;75988866;98241136;104708512;89855529;76751611;298297266;186866650;79994410;97218220;644910845;315075043;80282152;87925152;1175957896;466928049;89281429;89566379;1836092811;923487932;107954004;102216912;4895285511;1587075840;124294756;119277660;10506067059;2886624536;144995902;147717577;38784678547;5879135525;189381931;187686382;0;12110043186;169197749;201097499;0;19317966832;157682841;200526487;0;19140315559
Que ingredientes eu preciso para um bolo de cenoura?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
O Neymar joga no Real Madrid?;76777553;83822970;91103495;99522818;99074854;95512984;273453487;267785856;111390354;112105785;594605584;593862039;132418144;146256780;1071753776;929332309;178720747;166771816;1572393995;1705137568;252059964;252176008;4612373114;3926086250;280420657;269687385;9004235750;7529661527;349364499;374722633;32910685691;30027263314;426927674;406422803;0;56366189991;416041474;386686774;0;0;482346191;417157786;0;0
Que cientista da computação ganhou um Oscar?;250032373;241355635;261785837;261545183;253595795;259246178;346382140;383003429;254598281;258995524;676625112;511123393;257906514;245549696;1111191954;796953042;284666239;285240253;1439022125;1193090756;279517252;284605674;3376331149;2387496051;300242686;289461924;6911449402;4142726133;330647778;320080597;28836742935;12986127572;354168112;364383429;0;28125469745;349875732;396119599;0;38753779451;367590552;399846722;0;0
Quantas empresas foram fundadas no mesmo ano que o Google?;307557619;294854227;307234859;310364843;287941573;295255547;482267561;350796467;322446938;330752572;896210532;494253909;312606900;334399474;1328239953;690616655;319478590;340614231;1792857572;1017135688;433477575;375763231;4594061769;1413266186;459590984;428326605;8978227435;3593131492;436559255;558349007;35264797821;7230242520;598637935;599730407;0;27967751305;664052683;673678310;0;36522142128;714257872;715772984;0;0
